email,response
"Supplier Payment Status Follow-Up Kindly follow up on payment for invoice #456789. Regards, Akshata","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Status Update Dear Supplier, Kindly provide an update on the status of invoice #234567. Regards, Shubham","{""classification"": ""No"", ""confidence"": 65}"
"Budget Review Request Dear Sir, Kindly review the attached budget for the upcoming project. Let me know your thoughts. Regards, Finance","{""classification"": ""No"", ""confidence"": 70}"
"Free Trial - Software Try our software free for 30 days! Limited spots available. Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Budget Approval Request Dear Sir/Madam, We request approval for the budget allocation for the upcoming quarter. Kindly confirm. Regards, Priya","{""classification"": ""No"", ""confidence"": 80}"
"Promotional Offer - Services Get 25% off on our services today! Limited time offer. Regards, Service Team","{""classification"": ""No"", ""confidence"": 88}"
"Supplier Acknowledgment Follow-Up Dear Supplier, Kindly acknowledge receipt of PO876543. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 78}"
"Free Product Consultation Dear Purva,We are offering a free consultation for new customers. Schedule yours today!Best regards,Sania","{""classification"": ""No"", ""confidence"": 80}"
"Supplier Payment Follow-Up Request Dear Supplier, Kindly follow up on payment for invoice #876543. Regards, Priya","{""classification"": ""No"", ""confidence"": 67}"
"Goods Delivery Follow-Up Dear Supplier, Kindly provide an update on the goods delivery for PO123456. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 77}"
"Free Trial Expiring Soon Dear Akshata,Your free trial is about to expire. Upgrade now to continue using our premium features.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 82}"
"Goods Delivery Request Follow-Up Dear Supplier, Kindly request an update on the delivery status for PO876543. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 74}"
"Supplier Payment Clarification Dear Supplier, Kindly clarify the payment for invoice #654321. Regards, Akankha","{""classification"": ""No"", ""confidence"": 67}"
"Employee Feedback Form Dear Employee, Please fill out the feedback form to share your thoughts on the recent training session. Regards, HR Team","{""classification"": ""No"", ""confidence"": 71}"
"Contract Extension Request Dear Client, We would like to request an extension for the contract due to unforeseen delays. Regards, Legal Team","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Payment Reminder Dear Customer, Kindly process the payment for invoice #987654. Regards, Shubham","{""classification"": ""No"", ""confidence"": 68}"
"Special Offer - Discount on Software Get a 50% discount on software today! Limited time offer. Regards, Software Team","{""classification"": ""No"", ""confidence"": 88}"
"Goods Dispatch Confirmation Dear Supplier, Kindly confirm the dispatch of the items for PO987654. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 80}"
"Free Trial Available for Services Enjoy a free trial of our services for 7 days! Sign up today. Regards, Free Trial Team","{""classification"": ""No"", ""confidence"": 85}"
"Status Update on Task Dear Team, Can you provide an update on the current task's progress? Regards, Sara","{""classification"": ""No"", ""confidence"": 65}"
"Delivery Follow-Up Request Dear Vendor, Kindly update us on the delivery status for PO876543. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 75}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the discrepancy for invoice #234567. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 65}"
"Promotional Discount on Services Get 30% off on services! Hurry, offer ends soon. Regards, Service Team","{""classification"": ""No"", ""confidence"": 88}"
"Free Trial Offer Dear Purva,Start your free trial today and experience all the premium features we have to offer.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 83}"
"Employee Training Session Dear Employees, Kindly attend the scheduled training session tomorrow at 3 PM. Regards, HR Team","{'classification': 'No', 'confidence': 75}"
"Special Promo for Returning Customers Dear Anand,Welcome back! Enjoy a special promo just for you with 15% off your next purchase.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 86}"
"Contract Agreement Request Dear Client, Kindly review the attached contract agreement and let us know your feedback. Regards, Legal Team","{'classification': 'No', 'confidence': 75}"
"Invoice Clarification Request Dear Supplier, We need clarification regarding the invoice discrepancies for the last order. Kindly provide a detailed explanation. Regards, Procurement Team","{'classification': 'Yes', 'confidence': 70}"
"Goods Dispatch Clarification Dear Supplier, Kindly clarify the dispatch status for PO876543. Regards, Akshata","{""classification"": ""Yes"", ""confidence"": 75}"
"Customer Query Response Dear Customer, Thank you for reaching out to us. Your query regarding the product has been addressed in the response below. Regards, Support Team","{'classification': 'No', 'confidence': 83}"
"Goods Receipt Update Dear Supplier, Kindly update us on the receipt of goods for PO567890. Regards, Ajeet","{""classification"": ""Yes"", ""confidence"": 75}"
"Free Trial Offer Dear Kanchan,Start your free trial today and experience all the premium features of our service.Best regards,Service Team","{""classification"": ""No"", ""confidence"": 75}"
"Invoice Status Follow-Up Dear Supplier, Kindly provide an update on invoice #987654. Regards, Aditi","{""classification"": ""No"", ""confidence"": 67}"
"Special Offer on Services Get a 30% discount on our services today! Contact us now! Regards, Service Team","{""classification"": ""No"", ""confidence"": 87}"
"Goods Delivery Follow-Up Dear Supplier, Kindly follow up on the delivery status for PO234567. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 75}"
"New Product Launch Dear Kanchan,We are pleased to announce the launch of our new product line. Check out the details below.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 80}"
"Invoice Status Follow-Up Reminder Dear Supplier, Kindly follow up on invoice #765432. Regards, Shubham","{""classification"": ""No"", ""confidence"": 68}"
"Task Completion Confirmation Dear Manager, The assigned task has been completed. Kindly confirm if further actions are needed. Regards, Mark","{""classification"": ""No"", ""confidence"": 78}"
"Invoice Status Follow-Up Dear Supplier, Kindly follow up on invoice #123456. Regards, Priya","{""classification"": ""No"", ""confidence"": 68}"
"Goods Dispatch Follow-Up Inquiry Dear Supplier, Kindly inquire about the dispatch status for PO234567. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Payment Pending Notice Dear Customer, Kindly note that your payment is still pending. Please ensure to make the payment at the earliest. Regards, Accounts Team","{'classification': 'No', 'confidence': 70}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the discrepancies on invoice #987654. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Goods Dispatch Clarification Dear Supplier, Kindly clarify the dispatch details for PO345678. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 76}"
"Free Trial Extension Offer Dear Akshata,We are offering a 14-day extension on your free trial. Don't miss this opportunity!Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Invoice Payment Clarification Dear Customer, Kindly clarify the payment status for invoice #998877. Regards, Ramesh","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Payment Follow-Up Kindly follow up on the payment for invoice #876123. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Goods Delivery Status Update Dear Supplier, Kindly provide an update on the delivery status for PO765432. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 74}"
"Free Consultation Offer Get a free consultation when you buy our service! Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the payment status for invoice #112233. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 65}"
"Free Trial Extension Dear Anand,We are happy to extend your free trial for another 7 days. Enjoy all the premium features without charge.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 87}"
"Purchase Order Amendment Dear Vendor, Please find the amended purchase order attached. Kindly proceed with the necessary arrangements. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 72}"
"Invoice Follow-Up Reminder Dear Customer, Kindly follow up on the payment status for invoice #765432. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 69}"
"Goods Delivery Confirmation Dear Supplier, Kindly confirm the delivery date for PO123456. Regards, Snehal","{""classification"": ""Yes"", ""confidence"": 75}"
"Goods Dispatch Clarification Dear Supplier, Kindly clarify the dispatch details for PO987654. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 78}"
"Vendor Payment Status Dear Supplier, Could you please provide an update on the payment status for the recent invoice? Regards, Procurement Team","{""classification"": ""No"", ""confidence"": 60}"
"Invoice Update Request Dear Supplier, Kindly provide the updated invoice for PO987654. Regards, Aditi","{""classification"": ""No"", ""confidence"": 65}"
"Order Update Notification Dear Kanchan,Your order #12345 has been updated. Please check the new details on your order page.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 85}"
"Training Program Reminder Dear All, Just a reminder that the training program is scheduled for tomorrow. Please be on time. Regards, HR Team","{'classification': 'No', 'confidence': 80}"
"Invoice Confirmation Dear Sania,Please confirm the details of invoice #234567 for our records.Best regards,Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Payment Status Follow-Up Dear Supplier, Kindly follow up on the payment for invoice #876543. Regards, Priya","{""classification"": ""No"", ""confidence"": 66}"
"Supplier Payment Follow-Up Dear Supplier, Kindly follow up on invoice #987654. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Goods Delivery Follow-Up Dear Supplier, Kindly update us on the delivery status for PO876543. Regards, Ajeet","{""classification"": ""Yes"", ""confidence"": 77}"
"Payment Reminder Dear Customer, Kindly settle the payment for invoice #123456. Regards, Meera","{""classification"": ""No"", ""confidence"": 70}"
"Goods Shipment Status Update Dear Supplier, Kindly update us on the shipment status for PO123456. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 74}"
"Free Course Enrollment Reminder Don’t miss out! Register for free courses today! Regards, Course Team","{""classification"": ""No"", ""confidence"": 86}"
"Payment Clarification Follow-Up Dear Customer, Kindly clarify the payment status for invoice #112233. Regards, Shubham","{""classification"": ""No"", ""confidence"": 64}"
"Goods Dispatch Status Inquiry Dear Supplier, Kindly inquire about the status of goods dispatch for PO876543. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Acknowledgment Follow-Up Dear Supplier, Kindly acknowledge the purchase order and confirm the expected dispatch date. Regards, Ajeet","{""classification"": ""Yes"", ""confidence"": 78}"
"Promotional Offer - Buy 1 Get 1 Free Dear Sania,Take advantage of our special offer! Buy 1, get 1 free. Hurry, the offer ends today!Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 87}"
"Goods Delivery Status Follow-Up Dear Supplier, Kindly follow up on the goods delivery for PO987654. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 77}"
"Free Trial - Try it Today Claim your free trial now! Hurry, limited spots available. Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Free Consultation on Services Get a free consultation on all our services today! Book now! Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Free Consultation - Book Now Book a free consultation today and get expert advice on your business! Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Promotional Offer - Free Consultation Get a free consultation when you buy our service today! Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Supplier Order Follow-Up Inquiry Dear Supplier, Kindly follow up on PO234567. Regards, Purva","{""classification"": ""Yes"", ""confidence"": 75}"
"Seasonal Offer Reminder Dear Purva,Don’t forget! Our seasonal offer ends soon. Get exclusive discounts before it’s too late.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 83}"
"Supplier Order Clarification Dear Supplier, Kindly clarify the details of PO765432. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 76}"
"HR Policy Update Dear All, Please find the updated HR policy document attached for your reference. Kindly acknowledge receipt. Regards, HR Team","{""classification"": ""No"", ""confidence"": 68}"
"Payment Clarification Dear Sir/Madam, Kindly clarify the payment status for PO112233. Regards, Komal","{""classification"": ""No"", ""confidence"": 64}"
"Goods Delivery Follow-Up Dear Supplier, Kindly follow up on the delivery status for PO234567. Regards, Akankha","{""classification"": ""Yes"", ""confidence"": 75}"
"Supplier Order Confirmation Follow-Up Dear Supplier, Kindly confirm the order for PO765432. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 75}"
"Product Update Dear Radha,We are excited to inform you that the product you ordered is back in stock.Best regards,Purva","{""classification"": ""Yes"", ""confidence"": 80}"
"Goods Dispatch Follow-Up Dear Supplier, Kindly provide an update on the dispatch status for PO123456. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 74}"
"Product Launch Announcement Dear Kanchan,We are excited to announce the launch of our new product! Visit our website to learn more.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Invoice Payment Reminder Dear Supplier, Kindly follow up on the payment for invoice #765432. Regards, Purva","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Payment Status Inquiry Dear Supplier, Kindly inquire about the payment status for invoice #543210. Regards, Akankha","{""classification"": ""No"", ""confidence"": 67}"
"Holiday Sale - Limited Offer Get 70% off on all items this holiday season! Shop now and save big. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 85}"
"Feedback Request Dear Radha,We’d love to hear your feedback on your recent purchase. Your opinion matters to us.Best regards,Customer Service","{""classification"": ""No"", ""confidence"": 80}"
"Exclusive Offer - Buy Now Buy now and get a 20% discount on your purchase! Limited time offer. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Free Webinar Invitation Dear Anand,Join us for a free webinar on how to improve your business strategies. Register now!Best regards,Webinar Team","{""classification"": ""No"", ""confidence"": 88}"
"Invoice Payment Reminder Dear Supplier, Kindly remind on the payment status for invoice #345678. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Payment Follow-Up Request Dear Supplier, Kindly follow up on payment for invoice #876543. Regards, Akshata","{""classification"": ""No"", ""confidence"": 67}"
"Supplier Order Status Clarification Dear Supplier, Kindly clarify the order status for PO234567. Regards, Akankha","{""classification"": ""Yes"", ""confidence"": 75}"
"Invoice Follow-Up Reminder Dear Supplier, Kindly follow up on invoice #234567. Regards, Priya","{""classification"": ""No"", ""confidence"": 65}"
"Promotional Discount - Flash Sale Dear Akshata,Hurry! Our flash sale ends today. Get 30% off on all services.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 87}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the discrepancy in invoice #123456. Regards, Snehal","{""classification"": ""No"", ""confidence"": 65}"
"Exclusive Discount on Courses Get 50% off on all courses! Enroll now to avail the offer. Regards, Course Team","{""classification"": ""No"", ""confidence"": 85}"
"Special Offer - Discount on Services Get 20% off on our services! Offer ends soon. Contact us now! Regards, Service Team","{""classification"": ""No"", ""confidence"": 88}"
"PO Status Update Request Dear Supplier, Kindly provide an update on the status of purchase order PO987654. Regards, Kirti","{""classification"": ""Yes"", ""confidence"": 80}"
"New Vendor Registration Dear Vendor, Please complete the attached form for new vendor registration. Regards, Procurement","{'classification': 'Yes', 'confidence': 85}"
"Order Processing Status Dear Team, Kindly update us on the order processing status for PO112233. Regards, Shweta","{""classification"": ""Yes"", ""confidence"": 78}"
"Invoice Query Follow-Up Dear Supplier, Kindly clarify the payment details for invoice #123456. Regards, Ramesh","{""classification"": ""No"", ""confidence"": 66}"
"Request for Discount Dear Sania,Could you kindly provide a discount on my upcoming purchase?Best regards,Purva","{""classification"": ""No"", ""confidence"": 67}"
"Goods Delivery Update Dear Supplier, Kindly provide an update on the delivery of goods for PO345678. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 77}"
"Feedback Request Dear Akshata,We value your feedback on our recent product. Please let us know your thoughts.Best regards,Anand","{""classification"": ""No"", ""confidence"": 80}"
"Payment Request Reminder Dear Customer, Kindly follow up on the payment for invoice #234567. Regards, Aditi","{""classification"": ""No"", ""confidence"": 68}"
"Invoice Clarification Request Dear Supplier, Kindly clarify the invoice details for #345678. Regards, Sania","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Clarification Request Dear Supplier, Kindly clarify the invoice details for #876543. Regards, Priya","{""classification"": ""No"", ""confidence"": 68}"
"Goods Dispatch Inquiry Dear Team, Kindly confirm if the dispatched goods match the PO specifications. Regards, Kirti","{""classification"": ""Yes"", ""confidence"": 70}"
"Purchase Our Premium Plan Become a member today and enjoy exclusive benefits. Best regards, Membership Team","{""classification"": ""No"", ""confidence"": 87}"
"Supplier Acknowledgment Request Dear Supplier, Kindly acknowledge receipt of PO987654. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 80}"
"Thank You for Joining Dear Purva,Thank you for joining our program! We’re excited to have you with us. Let us know if you need any assistance.Best regards,Customer Service","{""classification"": ""No"", ""confidence"": 84}"
"Goods Delivery Follow-Up Dear Supplier, Kindly follow up on the delivery status for PO765432. Regards, Kanchan","{""classification"": ""Yes"", ""confidence"": 75}"
"Meeting Request Dear Team, Could you please confirm your availability for the meeting scheduled for next Monday? Regards, Alice","{""classification"": ""No"", ""confidence"": 70}"
"Goods Receipt Status Update Dear Supplier, Kindly update us on the receipt status of goods for PO123456. Regards, Meera","{""classification"": ""Yes"", ""confidence"": 75}"
"Special Offer - Discounted Products Buy now and get a 30% discount on all products! Offer ends soon. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Discount Offer on Courses Don't miss out on our amazing course discounts! Enroll today to save big! Regards, Education Team","{""classification"": ""No"", ""confidence"": 86}"
"Supplier Payment Follow-Up Dear Supplier, Kindly follow up on invoice #234567. Regards, Radha","{""classification"": ""No"", ""confidence"": 67}"
"Exclusive Offer on Services Get an exclusive offer on our services. Contact us today! Regards, Service Team","{""classification"": ""No"", ""confidence"": 88}"
"Invoice Follow-Up Reminder Dear Supplier, Kindly remind on the payment status for invoice #345678. Regards, Shraddha","{""classification"": ""No"", ""confidence"": 67}"
"Free Software Trial Get a free trial of our software today! Don’t miss this opportunity! Regards, Software Team","{""classification"": ""No"", ""confidence"": 86}"
"Goods Shipment Status Dear Vendor, Kindly update us on the shipment status of PO998877. Regards, Ramesh","{""classification"": ""Yes"", ""confidence"": 74}"
"Confirmation of Goods Receipt Dear Team, Please confirm if all items from PO987654 have been received. Regards, Snehal","{""classification"": ""Yes"", ""confidence"": 80}"
"Invoice Payment Clarification Dear Customer, Kindly clarify the payment details for invoice #987654. Regards, Priya","{""classification"": ""No"", ""confidence"": 69}"
"Supplier Order Follow-Up Reminder Dear Supplier, Kindly follow up on PO345678. Regards, Priya","{""classification"": ""Yes"", ""confidence"": 77}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly clarify the discrepancies on invoice #345678. Regards, Akankha","{""classification"": ""No"", ""confidence"": 67}"
"Invoice Payment Reminder Dear Radha,This is a gentle reminder to settle the payment for invoice #567890.Best regards,Akshata","{""classification"": ""No"", ""confidence"": 67}"
"Product Return Process Dear Customer, Kindly follow the process mentioned below for returning the defective product. Regards, Customer Service","{'classification': 'No', 'confidence': 82}"
"Free Consultation Reminder Dear Radha,This is a quick reminder to schedule your free consultation and take advantage of our expert services.Best regards,Service Team","{""classification"": ""No"", ""confidence"": 83}"
"Shipment Dispatch Update Dear Vendor, Kindly update us on the shipment dispatch for PO12345. Regards, Ramesh","{""classification"": ""Yes"", ""confidence"": 80}"
"Payment Clarification Request Dear Customer, Kindly clarify the payment status for invoice #345678. Regards, Kirti","{""classification"": ""No"", ""confidence"": 65}"
"Confirmation of Purchase Dear Kanchan,Your recent purchase has been successfully processed. We will notify you once it ships.Best regards,Akshata","{""classification"": ""Yes"", ""confidence"": 75}"
"Employee Evaluation Feedback Dear Manager, Kindly provide feedback on my performance evaluation. Regards, Employee","{'classification': 'No', 'confidence': 74}"
"Goods Dispatch Follow-Up Request Dear Supplier, Kindly follow up on the dispatch for PO234567. Regards, Ramesh","{""classification"": ""Yes"", ""confidence"": 74}"
"Order Amendment Request Dear Team, Kindly find the amended purchase order attached. Please process the updated order accordingly. Regards, Sujit","{""classification"": ""Yes"", ""confidence"": 74}"
"Payment Request Reminder Dear Customer, Kindly settle the payment for invoice #998877. Regards, Priya","{""classification"": ""No"", ""confidence"": 70}"
"Goods Delivery Follow-Up Dear Supplier, Kindly follow up on the delivery status for PO234567. Regards, Sania","{""classification"": ""Yes"", ""confidence"": 75}"
"Invoice Clarification Follow-Up Dear Supplier, Kindly follow up on invoice #234567. Regards, Aditi","{""classification"": ""No"", ""confidence"": 64}"
"Delivery Status Update Dear Team, Kindly provide an update on the delivery status for PO998877. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 73}"
"Supplier Payment Clarification Dear Supplier, Kindly clarify the payment status for invoice #234567. Regards, Meera","{""classification"": ""No"", ""confidence"": 65}"
"Purchase Our Premium Plan Purchase our premium plan today and enjoy the benefits! Regards, Premium Team","{""classification"": ""No"", ""confidence"": 89}"
"Delivery Request Dear Team, Kindly arrange the delivery of the following items: Item X, 100 units; Item Y, 200 units. Regards, Prakash","{""classification"": ""Yes"", ""confidence"": 78}"
"Last Chance - Buy 1 Get 1 Free Offer Last chance to buy 1 get 1 free! Hurry, limited time offer. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 89}"
"Supplier Acknowledgment Request Dear Supplier, Kindly acknowledge receipt of the purchase order and provide an expected delivery date. Regards, Snehal","{""classification"": ""Yes"", ""confidence"": 80}"
"Software Feature Request Dear Developer, Could you please add the new feature to the software as per the request in the attached document? Regards, Operations","{""classification"": ""No"", ""confidence"": 78}"
"Product Inquiry Dear Kanchan,Thank you for your interest in our product! Do you have any specific questions? Let us know.Best regards,Sales Team","{""classification"": ""No"", ""confidence"": 89}"
"Payment Confirmation Request Dear Customer, Kindly confirm payment for the invoice #112233. Regards, Ramesh","{""classification"": ""No"", ""confidence"": 67}"
"Subscription Renewal Reminder Dear Akshata,Your subscription is about to expire. Renew now to continue enjoying uninterrupted access to our services.Best regards,Subscription Team","{""classification"": ""No"", ""confidence"": 84}"
"Free Course Enrollment Enroll now for free courses today! Hurry, limited slots available. Regards, Course Team","{""classification"": ""No"", ""confidence"": 86}"
"Delivery Schedule Request Dear Vendor, Kindly confirm the expected delivery schedule for PO345678. Regards, Kirti","{""classification"": ""Yes"", ""confidence"": 72}"
"Invoice Follow-Up Reminder Dear Supplier, Kindly remind on the status of invoice #987654. Regards, Meera","{""classification"": ""No"", ""confidence"": 68}"
"Purchase Order Receipt Acknowledgment Dear Supplier, Kindly acknowledge receipt of the attached purchase order. Regards, Ramesh","{""classification"": ""Yes"", ""confidence"": 73}"
"Request for Updated Invoice Dear Supplier, Kindly provide the updated invoice for the order under PO112233. Regards, Shubham","{""classification"": ""No"", ""confidence"": 66}"
"Client Feedback Request Dear Client, Kindly share your feedback regarding the recent project delivery. We appreciate your thoughts. Regards, Jane","{""classification"": ""No"", ""confidence"": 72}"
"Special Offer - Buy Now Buy now and save 15%! Limited time only. Regards, Sales Team","{""classification"": ""No"", ""confidence"": 88}"
"Supplier Order Status Follow-Up Dear Supplier, Kindly check the status for PO345678. Regards, Radha","{""classification"": ""Yes"", ""confidence"": 75}"
"Service Request Confirmation Dear Team, Kindly confirm the receipt of the service request for the broken equipment. Regards, Maintenance","{'classification': 'Yes', 'confidence': 82}"
"Get Your Free Trial Now Sign up today and get a free trial of our service! Hurry, limited time offer. Regards, Service Team","{""classification"": ""No"", ""confidence"": 86}"
"Payment Confirmation Dear Kanchan,Your payment for invoice #12345 has been successfully received. Thank you for your prompt payment.Best regards,Finance Team","{""classification"": ""Yes"", ""confidence"": 85}"
"Payment Confirmation Request Dear Customer, Kindly confirm payment for invoice #123456. Regards, Meera","{""classification"": ""No"", ""confidence"": 66}"
"PO Dispatch Confirmation Dear Vendor, Kindly confirm the dispatch of the items as per PO123456. Regards, Snehal","{""classification"": ""Yes"", ""confidence"": 80}"
"Special Offer - Discounted Services Get 20% off on services! Hurry, offer ends soon. Regards, Service Team","{""classification"": ""No"", ""confidence"": 88}"
"Order Delivery Schedule Dear Supplier, Kindly provide the delivery schedule for PO998877. Regards, Aditi","{""classification"": ""Yes"", ""confidence"": 78}"
"Payment Due Reminder Dear Customer, Kindly settle the payment for invoice #567890. Regards, Aditi","{""classification"": ""No"", ""confidence"": 69}"
"Goods Delivery Clarification Dear Supplier, Kindly clarify the delivery details for PO765432. Regards, Shubham","{""classification"": ""Yes"", ""confidence"": 75}"
"Exclusive Offer - Book Now Book your slot now and get 30% off on services! Hurry, offer ends soon. Regards, Service Team","{""classification"": ""No"", ""confidence"": 88}"
"Payment Confirmation Request Dear Customer, Kindly confirm the payment against the invoice. Regards, Swapnil","{""classification"": ""No"", ""confidence"": 66}"
"Survey Request Dear Kanchan,We value your feedback! Please take a moment to complete our short survey.Best regards,Customer Service","{""classification"": ""No"", ""confidence"": 87}"
"Invoice Clarification Inquiry Kindly clarify the details for invoice #234567. Regards, Kanchan","{""classification"": ""No"", ""confidence"": 67}"
"Goods Receipt Update Dear Supplier, Kindly update us on the goods receipt for PO345678. Regards, Shraddha","{""classification"": ""Yes"", ""confidence"": 78}"
"Supplier Registration Update Dear Supplier, Kindly update the supplier registration form for our records. Regards, Procurement","{""classification"": ""Yes"", ""confidence"": 78}"
"Order Shipped Dear Anand,Your order #987654 has been shipped and is on its way to you. Expect delivery soon.Best regards,Shipping Team","{""classification"": ""No"", ""confidence"": 85}"
